org_name	org_abbr	tax_ID
Bipolaris sorokiniana ND90Pr	Bipo_soro_ND90Pr	665912: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; 
Blastomyces dermatitidis ATCC 18187	Blas_derm_ATCC_18187	946394: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; 
Blastomyces dermatitidis ATCC 18188	Blas_derm_ATCC_18188	653446: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; 
Blastomyces dermatitidis ATCC 26199	Blas_derm_ATCC_26199	447095: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; 
Blastomyces dermatitidis ER-3	Blas_derm_ER_3	559297: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; 
Blastomyces dermatitidis SLH14081	Blas_derm_SLH14081	559298: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; Ajellomycetaceae; 
Blumeria graminis f. sp. hordei DH14	Blum_gram_f_hordei_DH14	546991: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Erysiphales; Erysiphaceae; Blumeria. 
Blumeria graminis f. sp. tritici 94202	Blum_gram_f_tritici_94202	1306135: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Erysiphales; Erysiphaceae; Blumeria. 
Blumeria graminis f. sp. tritici 96224	Blum_gram_f_tritici_96224	1268274: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Erysiphales; Erysiphaceae; Blumeria. 
Blumeria graminis f. sp. tritici JIW2	Blum_gram_f_tritici_JIW2	1306134: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Erysiphales; Erysiphaceae; Blumeria. 
Botryobasidium botryosum FD-172 SS1	Botr_botr_FD_172_SS1	930990: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Cantharellales; Botryobasidiaceae; Botryobasidium. 
Botrytis cinerea B05.10	Botr_cine_B05_10	332648: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis. 
Botrytis cinerea BcDW1	Botr_cine_BcDW1	1290391: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis. 
Botrytis cinerea T4	Botr_cine_T4	999810: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales; Sclerotiniaceae; Botrytis. 
Candida albicans 3153A	Cand_albi_3153A	1182531: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans A123	Cand_albi_A123	1182537: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans A155	Cand_albi_A155	1182538: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
